,Name,Brand,Model,Battery capacity (mAh),RAM (MB),Internal storage (GB),Rear camera,Front camera,Number of SIMs,4G/ LTE,Price
904,mPhone 8,mPhone,8,3050,4000,64,21,8,2,Yes,6499
905,Zopo Speed 8,Zopo,Speed 8,3600,4000,32,21,8,2,Yes,9980
21,Black Shark 2,Black Shark,2,4000,6000,128,48,20,2,Yes,29999
22,Honor View 20,Honor,View 20,4000,6000,128,48,25,1,No,25120
23,Vivo V15 Pro,Vivo,V15 Pro,3700,6000,128,48,32,2,Yes,17973
24,Oppo Reno 2F,Oppo,Reno 2F,4000,8000,128,48,16,1,No,20900
25,OnePlus 7T,OnePlus,7T,3800,8000,128,48,16,2,Yes,34930
26,Nubia Red Magic 3S,Nubia,Red Magic 3S,5000,8000,128,48,16,2,Yes,47999
27,Nubia Red Magic 3,Nubia,Red Magic 3,5000,8000,128,48,16,2,Yes,35999
28,Oppo F15,Oppo,F15,4000,8000,128,48,16,2,Yes,18690
29,Oppo Reno,Oppo,Reno,3765,8000,128,48,16,2,Yes,26990
30,Asus ROG Phone 2,Asus,ROG Phone 2,6000,8000,128,48,24,1,Yes,37999
31,Samsung Galaxy S10 Lite,Samsung,Galaxy S10 Lite,4500,8000,128,48,32,1,No,39999
32,Vivo V17,Vivo,V17,4500,8000,128,48,32,2,Yes,21150
33,Vivo V17 Pro,Vivo,V17 Pro,4100,8000,128,48,32,2,Yes,26220
302,iPhone 11 Pro Max,Apple,iPhone 11 Pro Max,3969,4000,64,12,12,2,Yes,106900
303,iPhone 11,Apple,iPhone 11,3110,4000,64,12,12,2,Yes,62900
34,Vivo S1 Pro,Vivo,S1 Pro,4500,8000,128,48,32,2,Yes,18599
35,Redmi Note 7 Pro,Xiaomi,Redmi Note 7 Pro,4000,4000,64,48,13,2,Yes,9799
306,iPhone 11 Pro,Apple,iPhone 11 Pro,3046,4000,64,12,12,2,Yes,96900
36,Realme 5s,Realme,5s,5s,4000,64,48,13,2,Yes,9999
37,Samsung Galaxy M30s,Samsung,Galaxy M30s,6000,4000,64,48,16,2,Yes,12999
38,Realme 5 Pro,Realme,5 Pro,4035,4000,64,48,16,2,Yes,11999
39,Nokia 7.2,Nokia,7.2,3500,4000,64,48,20,2,Yes,15377
40,Motorola Moto G8 Plus,Motorola,Moto G8 Plus,4000,4000,64,48,25,2,Yes,12999
41,Xiaomi Mi A3,Xiaomi,Mi A3,4030,4000,64,48,32,2,Yes,11845
42,Xiaomi Redmi K20,Xiaomi,Redmi K20,4000,6000,64,48,20,2,Yes,19282
238,Mobiistar CQ,Mobiistar,CQ,3000,2000,16,8,13,2,Yes,4294
239,Xolo Era 2V,Xolo,Era 2V,3000,2000,16,8,13,2,Yes,7499
43,Asus 6Z,Asus,6Z,5000,6000,64,48,48,2,Yes,27999
44,Huawei P30 Pro,Huawei,P30 Pro,4200,8000,256,40,32,2,Yes,54280
45,Huawei Mate 20 Pro,Huawei,Mate 20 Pro,4200,6000,128,40,24,2,Yes,63990
46,Huawei Mate 30 Pro,Huawei,Mate 30 Pro,4500,8000,128,40,32,2,Yes,77299
47,Huawei P20 Pro,Huawei,P20 Pro,4000,4000,64,40,24,2,Yes,49990
48,Samsung Galaxy M40,Samsung,Galaxy M40,3500,6000,128,32,16,2,Yes,16879
49,Samsung Galaxy A70,Samsung,Galaxy A70,4500,6000,128,32,32,2,Yes,22299
50,Samsung Galaxy A30s,Samsung,Galaxy A30s,4000,4000,64,25,16,2,Yes,13980
51,Honor 20i,Honor,20i,3400,4000,128,24,32,2,Yes,10999
52,Samsung Galaxy A9 (2018),Samsung,Galaxy A9 (2018),3800,6000,128,24,24,2,Yes,22000
695,Infinix Hot 7,Infinix,Hot 7,4000,4000,64,13,13,2,Yes,9990
696,Infinix Hot 7 Pro,Infinix,Hot 7 Pro,4000,6000,64,13,13,2,Yes,10999
53,Nubia Red Magic,Nubia,Red Magic,3800,8000,128,24,8,2,Yes,24860
699,InFocus Vision 3 Pro,InFocus,Vision 3 Pro,4000,4000,64,13,13,2,Yes,7990
700,Itel S42,Itel,S42,3000,3000,16,13,13,2,Yes,8480
54,Samsung Galaxy A7 (2018),Samsung,Galaxy A7 (2018),3300,4000,64,24,24,2,Yes,16490
702,InFocus M680,InFocus,M680,2600,2000,16,13,13,2,Yes,4990
55,Asus ZenFone 3 Deluxe (ZS570KL),Asus,ZenFone 3 Deluxe (ZS570KL),3000,6000,256,23,8,2,Yes,44999
704,Tecno Camon i,Tecno,Camon i,3050,3000,32,13,13,2,Yes,5930
56,Asus ZenFone AR,Asus,ZenFone AR,3300,8000,128,23,8,2,Yes,49999
706,Zopo Speed X,Zopo,Speed X,2680,3000,32,13,13,2,Yes,7399
707,Mobiistar XQ Dual,Mobiistar,XQ Dual,3000,3000,32,13,13,2,Yes,5199
708,Tecno Spark Power,Tecno,Spark Power,6000,4000,64,13,13,2,Yes,8499
709,Lava Z81,Lava,Z81,3000,2000,16,13,13,2,Yes,6999
710,Tecno Camon iSky 2,Tecno,Camon iSky 2,3050,2000,16,13,13,2,Yes,5899
711,Tecno Camon iTwin,Tecno,Camon iTwin,4000,3000,32,13,13,2,Yes,8990
712,Kult Impulse,Kult,Impulse,4000,3000,32,13,13,2,No,4378
57,Nubia Z11 mini S,Nubia,Z11 mini S,3000,4000,64,23,13,2,Yes,16999
714,Karbonn Titanium Frames S7,Karbonn,Titanium Frames S7,3000,3000,32,13,13,2,Yes,4799
715,Xolo Era 3X,Xolo,Era 3X,3000,3000,16,13,13,2,Yes,8499
58,Sony Xperia XA1 Ultra,Sony,Xperia XA1 Ultra,2700,4000,64,23,16,2,Yes,5994
717,Kult Beyond,Kult,Beyond,3000,3000,32,13,13,2,Yes,3999
59,Sony Xperia XA2 Ultra,Sony,Xperia XA2 Ultra,3580,4000,32,23,16,2,Yes,74164
60,BlackBerry DTEK60,BlackBerry,DTEK60,3000,4000,32,21,8,1,Yes,16999
720,InFocus M535+,InFocus,M535+,2600,3000,16,13,13,2,Yes,6000
61,Oppo R15 Pro,Oppo,R15 Pro,3400,6000,128,20,20,2,Yes,14299
722,Lyf Earth 2,Lyf,Earth 2,2500,3000,32,13,13,2,Yes,6990
62,Huawei Mate 9,Huawei,Mate 9,4000,4000,64,20,8,2,Yes,53983
63,Honor 8X,Honor,8X,3750,4000,64,20,16,2,Yes,9999
64,Micromax Canvas Infinity Pro,Micromax,Canvas Infinity Pro,3000,4000,64,20,16,2,Yes,6999
65,Sony Xperia XZ Premium,Sony,Xperia XZ Premium,3230,4000,64,19,13,2,Yes,33500
66,Sony Xperia XZ1,Sony,Xperia XZ1,2700,4000,32,19,13,2,Yes,34990
67,Sony Xperia XZs,Sony,Xperia XZs,2900,4000,32,19,13,2,Yes,29990
68,Samsung Galaxy Fold,Samsung,Galaxy Fold,4380,12000,512,16,10,2,Yes,164999
69,Oppo Find X,Oppo,Find X,3730,8000,256,16,25,2,Yes,59090
70,Oppo A9,Oppo,A9,4020,4000,128,16,16,2,Yes,11990
71,Vivo Y19,Vivo,Y19,5000,4000,128,16,16,2,Yes,13990
